,SMILES,pki
182,Cn1c(=O)c2c(nc(C3CCCC3)n2C)n(C)c1=O,5.61979
183,CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)nc2c1=O,6.11407
184,Nc1nc(C(=O)NCCc2ccc(O)cc2)cn2nc(-c3ccco3)nc12,9.0
185,N#Cc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,7.13668
186,CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,8.18046
187,O=C(c1cccs1)c1nc(NCc2cccnc2)nc2ccsc12,7.29243
188,COCc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)n1,8.76955
189,CCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CC[NH+](Cc5ccccc5)CC4)cc3)[nH]c2c1=O,6.81816
190,Cc1cccnc1CNC(=O)c1nc(N)nc(-c2ccco2)n1,7.73049
191,N#Cc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.0655
192,Cn1c(=O)c2c(nnn2C2CCCCC2)n(C)c1=O,5.07572
193,Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,9.79588
194,Cc1cccc(-c2cc(-c3ccco3)nc(N)c2C#N)c1,6.85387
195,Nc1nc2c(ncn2Cc2ccccc2)c2nc(-c3ccco3)nn12,8.82391
196,CN(C)C(=O)CN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.52288
197,CC(=O)Nc1cc(N2CCOCC2)nc(-n2nc(C)cc2C)n1,6.50446
198,Nc1nc(-c2ccco2)c2cn[nH]c2n1,7.31876
199,Cn1c(=O)c2c(nnn2C2CC3CCC2C3)n(C)c1=O,5.34679
200,Cc1ccccc1CNC(=O)c1cc(-c2ccco2)nc(N)n1,8.65758
201,COC(=O)c1cccc(Cn2ncc3c(-c4ccco4)nc(N)nc32)c1,8.39794
202,Cc1cnc(-c2nc(N)nc3c2nnn3Cc2ccccc2F)s1,8.07058
203,COC(=O)c1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,7.34679
204,CCC(=O)Nc1cc(N2CCCC2COC)nc(-n2nc(C)cc2C)n1,8.22915
205,N#Cc1c(-c2ccccc2)nc(N)nc1-c1ccccc1,7.64397
206,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC[NH+](C)C,6.22185
207,Cn1cc2c(nc(N)n3nc(-c4ccc(F)cc4)nc23)n1,6.44977
208,COc1ccc2c(c1)CC[NH+](CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,8.72125
209,Cc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)c1,8.58503
210,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OC)c(OC)c1,4.3
211,CN(C)c1nc(-c2ncc[nH]2)c2sccc2n1,6.52433
212,CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,8.44855
213,Nc1nc(-c2cnn[nH]2)c2nnn(Cc3ccccc3F)c2n1,6.39794
214,COc1nc(-c2cccs2)c2sccc2n1,6.35262
215,CCc1ccccc1-c1cc(C(=O)NCc2ncccc2C)nc(N)n1,6.97062
216,Cc1nc(N)c2nc(-n3nccn3)n(C)c2n1,7.15243
217,CCCn1c(=O)[nH]c(=O)c2[nH]c(C3CCCCC3)nc21,5.95861
218,Cc1cccnc1CNC(=O)c1cc(-c2cccc(Cl)c2)nc(N)n1,7.63827
219,Cn1nc2nc(N)n3nc(-c4ccco4)nc3c2c1N1CC[NH+](C)CC1,6.838275
220,Nc1ncnc2c1nc(Br)n2CCc1ccccc1,5.3098
221,Cc1ccccc1CNC(=O)c1nc(N)nc(-c2ccco2)n1,7.91009
222,Nc1nc(-c2cccnc2)cc2nn(Cc3ccccc3)c(=O)n12,6.10182
223,COc1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,8.74473
224,CC(C)CCn1c(=O)c2nc[nH]c2n(CC(C)C)c1=O,5.18709
