,SMILES,pki
191,COc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1,7.30103
192,CCn1ncc2c1nc(N)n1nc(-c3ccc(Cl)cc3)nc21,7.07676
193,Cc1cc(CNC(=O)c2cc(-c3ccc(C)o3)nc(N)n2)no1,8.07058
194,Nc1nc2c(cnn2CC[NH+]2CCc3ccc(Cl)cc3CC2)c2nc(-c3ccco3)nn12,8.48149
195,COCCC1CCCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,6.56067
196,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccco3)c2n1,8.69897
197,COc1ccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)cc1,7.10237
198,CCOc1ccc2c(=O)cc(-c3ccccc3)n(CC)c2n1,5.85387
199,Nc1nc(C(=O)NCc2ccccc2Cl)cc(-c2ccco2)n1,8.58503
200,Cn1cc2c(nc(N)n3nc(-c4ccc(Br)cc4)nc23)n1,5.82391
201,CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(OC)cc4)c3)[nH]c2n(CCC)c1=O,7.21467
202,Oc1nc2ccccc2n2nc(-c3ccco3)nc12,5.32331
203,Nc1nc(-c2ccco2)c2nnn(Cc3ccc(C[NH3+])cc3)c2n1,6.61798
204,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccsc4)cc3)cc2n(C)c1=O,7.97881
205,CCCn1c(=O)c2c(cc(-c3ccc(C)cc3)n2O)n(CCC)c1=O,6.40012
206,CCCn1c(=O)c2[nH]c(-c3ccccc3)cc2n(CCC)c1=O,6.18977
207,Nc1nc(C(=O)NCc2ccncc2)cc(-c2ccco2)n1,6.41117
208,Cc1cccc(CNC(=O)c2nc(N)nc(-c3ccco3)n2)c1,8.12494
209,CCc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,5.41431
210,N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccco2)nc1N,6.85387
211,COc1ccc2c(CCNC(=[NH2+])Nc3nc(C)cc(C)n3)c[nH]c2c1,6.22185
212,Nc1nc2c(cnn2CC[NH+]2CCc3ncc(Br)cc3C2)c2nc(-c3ccco3)nn12,8.79588
213,OCCNc1nc(-c2ccco2)c2cnn(CCc3ccccc3)c2n1,6.86967
214,Nc1nc2c(cnn2CC[NH+]2CCN(c3ccc(F)cc3)CC2)c2nc(-c3ccco3)nn12,9.0
215,CCNc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,6.89963
216,COc1cccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)c1,6.97881
217,CCCn1c(=O)c2nc(C34CCC(C(=O)OC)(CC3)CC4)[nH]c2n(CCC)c1=O,6.04001
218,N#Cc1cccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)c1,6.89279
219,Cn1c(=O)c2c(nc(C3CCCCC3)n2C)n(C)c1=O,6.72125
220,Nc1nc(C(=O)NCc2cccnc2)nc(-c2ccco2)n1,7.05552
221,C[NH+]1CCc2nc3sc(C(=O)Nc4ccc(Cl)cc4)c(N)c3cc2C1,5.56864
222,CC(C)(C)C[NH2+]C1CCN(c2cccc(-c3cc4nc(-c5ccco5)nn4c(N)n3)c2)CC1,7.74473
223,CC(=O)NCCNc1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,6.55129
224,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccc(Br)o3)nn12,8.22185
225,CCCSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C,8.67778
226,N#Cc1c(-c2cccs2)cc(-c2cccs2)nc1N,7.49485
227,Nc1nc2c(cnn2CC[NH+]2CCc3ccccc3C2)c2nc(-c3ccco3)nn12,8.38722
228,CCc1c(C(=O)NCc2ncccc2C)nc(N)nc1-c1ccc(C)o1,6.73755
229,CC(C)c1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,8.0
230,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccccn3)nc12,6.7167
231,Nc1nc2c(cnn2CCCc2ccc(OCCO)cc2)c2nc(-c3ccco3)nn12,7.6216
232,Cc1cccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)c1,7.74473
233,Cc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,7.3098
234,CC(=O)Nc1cc(N2CC[NH+](C)CC2)nc(-n2nc(C)cc2C)n1,5.72886
235,CC(C)(C)n1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,7.34679
236,CN(C)c1nc(-c2ccccn2)c2sccc2n1,7.58503
237,Cn1c(=O)c2nc(C3CCCCC3)[nH]c2n(C)c1=O,6.82391
238,CCCN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.22185
239,Nc1nc(-c2ccccc2)cc(-c2ccc3c(c2)OCO3)n1,6.41908
240,Cc1ccc(Nc2nc(N)nc(CN3C(=O)NC4(CCCCC4)C3=O)n2)cc1,5.55284
241,CC(O)Cn1c(Br)nc2c(N)ncnc21,5.95861
242,Nc1nc(-c2ccco2)c2nc[nH]c2n1,6.58336
243,Cc1ccc(-c2cc(C(=O)NCc3ncccc3C)nc(N)n2)o1,8.52288
244,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC[NH+]1CCCC1,6.0
245,Cc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.25964
246,CCOc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.82391
247,COc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.3098
248,COc1cc(C(=O)NCc2ncccc2C)nc(N)n1,5.61083
249,Nc1nc(-c2ccco2)c2ncn(C(=O)NCCc3ccccc3)c2n1,8.22185
250,COc1cc(OC)cc(-n2c(=O)n(Cc3ccccc3OC)c3cnc(NC4CC4)nc32)c1,7.11919
251,Nc1nc(-c2ccco2)c2cnn(CCCc3ccccc3)c2n1,8.39794
252,Nc1nc2c(cnn2CC[NH+]2CCc3ccccc3CC2)c2nc(-c3ccco3)nn12,8.69897
253,CC(C)Cn1c(Br)nc2c(N)ncnc21,5.22185
254,CC1CCCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.69897
255,CC(=O)Nc1cc(N2CCCCC2)nc(-n2nc(C)cc2C)n1,7.10791
256,CCN(CC)c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,7.03621
257,O=c1[nH]c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2c(=O)n1CC1CC1,5.55909
258,COc1ccccc1Cn1c(=O)n(-c2ccccc2OC)c2nc(NC3CC3)ncc21,5.8066
259,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccc(F)cc3)c2n1,9.0
260,CC(NC(=O)n1cnc2c(-c3ccco3)nc(N)nc21)c1ccccc1,8.142
261,Nc1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,8.60206
262,CCCn1c(=O)c2nc(C3CCC(C(=O)NCC[NH+](C)C)CC3)[nH]c2n(CCC)c1=O,6.77469
263,COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1OC,8.56864
264,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)NCc4ccccc4)cc3)cc2n(C)c1=O,6.0
265,CC(=O)Oc1cccc(-c2nc(C(N)=O)c(N)o2)c1,4.4437
266,Nc1nc(-c2ccco2)c2cnn(CCc3ccccc3)c2n1,6.95861
267,Cc1ccc(-c2cc(C(=O)NCc3ccc(C)c(C)n3)nc(N)n2)o1,8.52288
268,Cc1ccc(-c2cc(C(=O)NCc3cccn3C)nc(N)n2)o1,8.60206
