,Chi0,Chi1,Chi10,Chi2,Chi3,Chi3c,Chi3ch,Chi4,Chi4c,Chi4ch,Chi4pc,Chi5,Chi5ch,Chi6,Chi6ch,Chi7,Chi8,Chi9,Chiv0,Chiv1,Chiv10,Chiv2,Chiv3,Chiv3c,Chiv3ch,Chiv4,Chiv4c,Chiv4ch,Chiv4pc,Chiv5,Chiv5ch,Chiv6,Chiv6ch,Chiv7,Chiv8,Chiv9,dchi0,dchi1,dchi2,dchi3,dchi4,knotp,knotpv,mChi1
570,15.527,10.631,0.85,9.637,7.815,1.477,0.0,6.167,0.0,0.0,2.981,5.492,0.0,3.602,0.25,2.837,1.898,1.126,11.731,6.865,0.084,4.993,3.455,0.53,0.0,2.378,0.0,0.0,1.006,1.706,0.0,0.908,0.083,0.581,0.327,0.164,3.796,3.766,4.644,4.36,3.789,1.503,0.476,0.443
571,10.931,6.32,0.0,6.761,4.339,2.215,0.0,3.073,0.289,0.0,3.324,2.173,0.0,1.757,0.068,0.621,0.35,0.0,8.569,6.739,0.0,5.84,3.487,1.4,0.0,2.012,0.095,0.0,1.975,1.429,0.0,0.867,0.024,0.298,0.091,0.0,2.361,0.419,0.921,0.852,1.06,1.108,0.575,0.451
572,7.56,4.715,0.0,4.17,3.034,0.705,0.0,2.335,0.0,0.0,1.498,1.342,0.0,0.625,0.083,0.316,0.152,0.0,5.242,2.794,0.0,1.881,1.17,0.196,0.0,0.682,0.0,0.0,0.357,0.353,0.0,0.12,0.028,0.047,0.013,0.0,2.318,1.921,2.288,1.865,1.653,0.793,0.161,0.472
573,16.016,10.452,0.851,9.743,8.691,1.776,0.0,7.278,0.0,0.0,4.827,5.916,0.157,4.5,0.068,3.222,2.249,1.481,11.326,6.486,0.084,5.001,3.695,0.712,0.0,2.599,0.0,0.0,1.552,1.685,0.078,1.048,0.014,0.61,0.351,0.186,4.69,3.966,4.742,4.995,4.679,3.051,0.84,0.435
574,11.707,7.613,0.226,6.915,5.854,1.214,0.0,4.418,0.0,0.0,2.914,3.366,0.118,2.295,0.056,1.45,0.808,0.468,8.713,4.883,0.023,3.611,2.405,0.473,0.0,1.526,0.0,0.0,0.846,0.961,0.045,0.523,0.016,0.279,0.132,0.06,2.994,2.731,3.303,3.45,2.892,1.7,0.373,0.448
575,11.966,7.668,0.131,6.296,4.829,0.895,0.0,3.545,0.0,0.0,1.853,2.571,0.0,1.272,0.083,0.888,0.48,0.288,10.242,6.177,0.055,4.678,3.142,0.549,0.0,2.073,0.0,0.0,0.907,1.538,0.0,0.685,0.083,0.374,0.183,0.096,1.724,1.491,1.618,1.687,1.472,0.958,0.357,0.479
576,17.087,12.865,2.155,11.859,11.188,1.544,0.0,10.115,0.0,0.0,4.517,7.865,0.428,6.374,0.136,5.268,4.041,2.847,14.051,8.89,0.385,7.061,5.714,0.836,0.0,4.415,0.0,0.0,2.059,2.999,0.17,2.098,0.048,1.485,0.972,0.6,3.036,3.975,4.798,5.474,5.7,2.973,1.223,0.415
577,14.044,8.954,0.093,8.524,6.382,1.817,0.0,5.092,0.083,0.177,3.473,4.341,0.0,2.505,0.083,1.435,0.801,0.36,13.374,7.758,0.028,7.062,4.873,1.504,0.0,3.569,0.072,0.177,2.555,2.863,0.0,1.518,0.028,0.778,0.364,0.145,0.67,1.196,1.462,1.509,1.523,1.656,1.051,0.448
578,23.75,15.756,1.721,14.712,12.431,2.843,0.0,10.599,0.167,0.0,6.816,8.494,0.079,6.743,0.207,4.954,3.523,2.327,20.276,12.617,0.435,10.171,7.766,1.649,0.0,5.559,0.046,0.0,3.528,4.108,0.025,2.856,0.088,1.82,1.091,0.661,3.475,3.139,4.542,4.664,5.04,3.973,1.879,0.438
579,24.853,16.799,2.416,15.625,13.997,2.695,0.0,12.067,0.0,0.0,6.933,9.921,0.0,7.702,0.293,6.089,4.475,3.332,18.413,10.703,0.281,8.2,6.0,1.06,0.0,4.28,0.0,0.0,2.174,3.025,0.0,1.877,0.1,1.251,0.769,0.476,6.44,6.096,7.424,7.996,7.787,4.238,1.114,0.431
580,12.303,8.077,0.223,7.654,5.661,1.688,0.0,4.344,0.204,0.0,2.819,3.312,0.0,2.16,0.185,1.123,0.705,0.394,9.554,6.215,0.05,4.929,3.326,0.804,0.0,2.136,0.051,0.0,1.317,1.445,0.0,0.861,0.047,0.422,0.216,0.104,2.749,1.862,2.724,2.335,2.208,1.132,0.513,0.449
581,26.828,16.955,0.986,15.796,11.186,3.017,0.0,8.676,0.0,0.0,5.031,6.539,0.0,4.687,0.111,2.934,2.057,1.697,21.097,11.66,0.152,9.309,5.064,1.617,0.0,3.171,0.0,0.0,1.814,2.132,0.0,1.225,0.05,0.724,0.437,0.289,5.731,5.295,6.488,6.122,5.505,2.014,0.197,0.458
582,20.269,14.082,1.204,12.588,11.023,1.908,0.0,8.798,0.083,0.0,5.046,7.066,0.083,5.179,0.258,3.603,2.43,1.682,16.442,10.206,0.319,7.834,6.133,0.976,0.0,4.423,0.056,0.0,2.351,3.145,0.04,2.005,0.116,1.344,0.839,0.512,3.827,3.877,4.753,4.89,4.375,3.138,1.374,0.44
583,20.604,13.684,2.602,14.121,12.271,3.515,0.0,10.861,0.308,0.0,8.445,9.583,0.174,7.752,0.146,6.283,4.779,3.642,18.608,12.194,1.753,12.075,10.726,2.756,0.0,9.355,0.255,0.0,7.04,8.014,0.123,6.447,0.118,5.198,3.716,2.647,1.996,1.49,2.046,1.545,1.505,4.93,4.284,0.415
584,10.251,7.36,0.431,6.522,5.866,0.811,0.0,5.126,0.0,0.0,2.332,3.651,0.241,2.741,0.068,2.032,1.358,0.775,8.128,4.907,0.045,3.551,2.603,0.32,0.0,1.861,0.0,0.0,0.745,1.047,0.112,0.632,0.014,0.379,0.207,0.1,2.123,2.453,2.971,3.263,3.265,1.521,0.425,0.433
585,11.707,7.613,0.226,6.915,5.854,1.214,0.0,4.418,0.0,0.0,2.914,3.366,0.118,2.295,0.056,1.45,0.808,0.468,8.973,5.199,0.033,3.951,2.745,0.508,0.0,1.826,0.0,0.0,0.945,1.153,0.068,0.658,0.016,0.359,0.178,0.083,2.734,2.414,2.963,3.11,2.592,1.7,0.437,0.448
586,20.656,13.69,2.228,13.867,13.113,3.554,0.0,11.421,0.401,0.0,9.893,9.003,0.19,7.463,0.134,5.824,4.345,3.148,17.102,11.155,1.393,10.637,9.85,2.397,0.0,8.336,0.263,0.0,6.66,6.557,0.114,5.113,0.134,4.074,2.944,2.101,3.555,2.535,3.23,3.263,3.085,6.339,4.263,0.415
587,16.872,10.865,0.453,10.373,7.214,2.3,0.0,5.61,0.204,0.0,3.477,4.007,0.144,2.579,0.083,1.866,1.281,0.658,13.355,8.77,0.163,6.986,4.841,1.015,0.0,3.398,0.051,0.0,1.683,2.133,0.091,1.379,0.028,0.863,0.511,0.275,3.517,2.095,3.387,2.373,2.212,1.177,0.668,0.453
588,13.88,8.988,0.237,8.525,6.424,1.886,0.0,4.908,0.204,0.0,3.4,3.581,0.0,2.32,0.185,1.223,0.726,0.413,10.723,6.95,0.072,5.552,3.8,0.889,0.0,2.451,0.051,0.0,1.491,1.659,0.0,0.964,0.06,0.486,0.262,0.141,3.157,2.038,2.973,2.623,2.457,1.514,0.603,0.449
589,10.768,6.416,0.02,6.543,4.055,1.892,0.0,3.26,0.204,0.0,2.633,1.923,0.0,1.372,0.083,0.55,0.331,0.078,8.336,5.289,0.006,4.413,2.917,0.857,0.0,1.886,0.051,0.0,1.323,1.078,0.0,0.619,0.028,0.245,0.122,0.028,2.431,1.127,2.13,1.138,1.375,0.741,0.467,0.458
590,15.458,9.941,0.344,9.271,7.091,2.096,0.0,5.488,0.204,0.0,3.646,4.25,0.0,3.095,0.151,1.842,1.021,0.577,12.216,7.281,0.077,5.639,3.874,0.913,0.0,2.488,0.051,0.0,1.529,1.705,0.0,1.077,0.042,0.574,0.3,0.15,3.242,2.66,3.632,3.217,3.001,1.55,0.616,0.452
591,10.768,6.416,0.02,6.543,4.055,1.892,0.0,3.26,0.204,0.0,2.633,1.923,0.0,1.383,0.083,0.55,0.331,0.078,8.03,5.071,0.004,4.164,2.723,0.792,0.0,1.694,0.046,0.0,1.23,0.99,0.0,0.565,0.028,0.216,0.098,0.021,2.738,1.344,2.379,1.333,1.566,0.741,0.438,0.458
592,13.173,8.471,0.267,8.287,5.981,1.976,0.0,4.697,0.204,0.0,3.164,3.42,0.0,2.506,0.167,1.19,0.793,0.409,10.477,6.636,0.067,5.379,3.555,0.934,0.0,2.275,0.051,0.0,1.452,1.538,0.0,0.977,0.044,0.473,0.256,0.12,2.696,1.835,2.909,2.426,2.422,1.187,0.519,0.446
593,13.88,9.009,0.267,8.445,6.479,1.892,0.0,4.796,0.204,0.0,3.312,3.705,0.0,2.557,0.167,1.482,0.953,0.47,10.885,6.738,0.061,5.303,3.624,0.873,0.0,2.258,0.051,0.0,1.446,1.514,0.0,0.928,0.044,0.494,0.268,0.126,2.995,2.271,3.141,2.856,2.538,1.42,0.573,0.45
594,12.466,7.971,0.221,7.934,5.739,1.976,0.0,4.463,0.204,0.0,3.164,3.092,0.118,2.231,0.083,1.172,0.62,0.332,10.547,6.957,0.103,6.165,4.176,1.165,0.0,2.981,0.051,0.0,1.755,1.993,0.061,1.339,0.028,0.674,0.366,0.177,1.919,1.014,1.769,1.563,1.482,1.187,0.59,0.443
595,12.466,7.971,0.221,7.934,5.739,1.976,0.0,4.463,0.204,0.0,3.164,3.092,0.118,2.231,0.083,1.172,0.62,0.332,9.861,6.272,0.054,5.18,3.428,0.937,0.0,2.242,0.051,0.0,1.447,1.467,0.026,0.944,0.028,0.449,0.22,0.1,2.605,1.699,2.754,2.311,2.221,1.187,0.511,0.443
596,8.483,4.999,0.0,5.323,3.241,1.799,0.0,2.126,0.289,0.0,2.27,1.52,0.0,1.162,0.083,0.322,0.072,0.0,6.505,4.43,0.0,3.675,2.138,0.809,0.0,1.173,0.059,0.0,1.083,0.742,0.0,0.445,0.028,0.12,0.024,0.0,1.978,0.569,1.647,1.103,0.953,0.471,0.274,0.454
597,15.579,10.56,0.607,9.902,7.883,1.953,0.0,6.386,0.204,0.0,3.775,4.878,0.118,3.488,0.185,2.135,1.393,0.913,12.364,8.023,0.13,6.321,4.443,0.944,0.0,3.041,0.051,0.0,1.673,2.081,0.033,1.283,0.06,0.698,0.399,0.228,3.215,2.538,3.582,3.439,3.345,1.822,0.729,0.44
598,12.303,8.077,0.223,7.654,5.661,1.688,0.0,4.344,0.204,0.0,2.819,3.312,0.0,2.16,0.185,1.123,0.705,0.394,9.685,6.355,0.059,5.072,3.465,0.819,0.0,2.275,0.051,0.0,1.352,1.551,0.0,0.922,0.053,0.463,0.247,0.122,2.619,1.722,2.582,2.196,2.068,1.132,0.533,0.449
599,14.872,10.044,0.612,9.633,7.584,2.021,0.0,6.108,0.204,0.0,3.714,4.925,0.0,3.474,0.235,2.286,1.599,1.059,11.709,7.63,0.128,6.101,4.249,0.948,0.0,2.836,0.051,0.0,1.615,1.946,0.0,1.191,0.07,0.681,0.409,0.232,3.163,2.414,3.532,3.336,3.272,1.693,0.667,0.437
600,11.596,7.577,0.181,7.3,5.411,1.688,0.0,4.167,0.204,0.0,2.819,2.783,0.144,2.014,0.083,1.038,0.574,0.305,9.755,6.719,0.084,5.589,4.017,0.891,0.0,2.883,0.051,0.0,1.524,1.821,0.091,1.178,0.028,0.631,0.345,0.171,1.841,0.858,1.711,1.394,1.283,1.132,0.633,0.446
601,20.217,14.165,1.206,12.286,10.808,1.479,0.0,9.196,0.0,0.0,4.262,7.452,0.064,5.019,0.306,3.639,2.635,1.848,16.496,10.699,0.371,8.246,6.218,0.837,0.0,4.53,0.0,0.0,1.894,3.268,0.029,2.054,0.096,1.385,0.924,0.597,3.721,3.466,4.04,4.59,4.666,2.783,1.056,0.443
602,13.336,8.399,0.234,8.323,6.543,2.078,0.0,4.639,0.204,0.0,4.032,3.415,0.096,2.416,0.083,1.191,0.687,0.393,10.783,6.695,0.063,5.579,3.922,1.042,0.0,2.385,0.051,0.0,1.868,1.652,0.023,1.034,0.028,0.49,0.247,0.129,2.553,1.704,2.744,2.622,2.254,1.953,0.825,0.442
603,14.113,9.686,0.808,8.685,7.432,1.303,0.0,6.148,0.0,0.0,3.283,5.042,0.096,3.733,0.151,2.828,1.902,1.192,11.9,7.572,0.116,5.656,3.935,0.763,0.0,2.551,0.0,0.0,1.495,1.766,0.028,1.156,0.046,0.688,0.366,0.2,2.213,2.114,3.03,3.497,3.597,1.98,0.732,0.44
