,kappa1,kappa2,kappa3,kappam1,kappam2,kappam3,phi
294,14.062,4.349,3.25,13.684,4.132,3.069,3.5338929999999995
295,12.0,5.612,4.592,12.39,5.938,4.895,6.130985
296,14.062,5.558,3.25,11.564,3.928,2.131,2.838962
297,15.39,8.323,5.12,13.784,7.073,4.194,5.131275368421053
298,10.516,5.186,2.75,8.697,3.879,1.905,2.409690214285714
299,22.042,10.222,5.762,20.415,9.011,4.932,7.664981874999999
300,28.994,14.963,7.359,26.521,13.133,6.249,9.67500813888889
301,21.302,9.796,5.042,19.129,8.256,4.074,6.317160960000001
302,16.0,9.074,5.778,16.48,9.504,6.126,9.78912
303,14.0,8.32,7.04,15.27,9.493,8.162,10.354150714285714
304,10.0,5.76,4.48,9.47,5.27,4.026,4.99069
305,21.0,16.372,14.694,20.88,16.254,14.578,16.16112
306,15.059,8.163,5.928,13.574,6.958,4.908,5.555758352941176
307,21.825,9.469,4.578,19.209,7.812,3.625,5.0020236
308,21.24,9.871,5.202,18.377,7.941,3.995,5.211848464285714
309,13.432,6.805,4.0,12.359,6.002,3.427,4.363454
310,14.41,5.551,2.525,12.525,4.39,1.883,3.054708333333333
311,11.111,4.704,2.08,9.641,3.78,1.58,2.27768625
312,66.144,30.702,16.884,58.776,25.574,13.562,19.52126524675325
313,15.879,5.571,3.062,14.084,4.567,2.422,3.062934666666667
314,12.719,4.777,1.843,10.561,3.575,1.284,1.9871355263157895
315,19.048,10.68,6.743,17.471,9.373,5.738,7.7978896666666655
316,14.917,5.325,2.391,12.226,3.835,1.601,2.3443355
317,17.811,7.486,3.52,15.417,5.959,2.653,3.994343608695652
318,13.432,5.76,3.062,11.378,4.405,2.198,2.9482405882352944
319,19.322,7.438,3.56,17.568,6.398,2.969,4.323079384615385
320,19.322,7.788,3.56,17.882,6.902,3.071,4.7469832307692315
321,14.583,5.0,2.066,13.592,4.467,1.801,2.8912125714285715
322,17.053,7.695,4.5,15.537,6.59,3.719,5.388885789473684
323,14.0,9.551,7.04,13.84,9.397,6.9,9.289605714285715
324,10.083,4.889,2.778,8.585,3.759,1.985,2.6892512500000003
325,19.0,9.834,8.0,20.84,11.413,9.457,12.518258947368421
326,11.484,4.888,2.24,9.705,3.726,1.583,2.410722
327,12.457,4.704,2.831,11.058,3.854,2.236,2.66359575
328,12.457,4.704,2.831,11.31,4.003,2.339,2.829620625
329,11.0,2.5,1.975,11.26,2.639,2.099,2.7013763636363635
330,11.077,5.672,3.704,10.024,4.843,3.047,3.734325538461538
331,15.879,6.246,2.699,14.141,5.187,2.141,3.492827
332,22.68,10.347,5.389,20.152,8.613,4.305,6.198899142857143
333,15.059,8.163,6.479,12.828,6.366,4.874,4.803708705882352
334,12.457,6.074,3.769,10.429,4.62,2.707,3.01137375
335,21.302,9.274,4.466,19.346,7.933,3.673,6.138872719999999
336,15.879,7.513,4.26,13.51,5.885,3.168,3.7860166666666664
337,15.39,7.695,4.795,13.022,5.957,3.518,4.082739684210526
338,21.302,9.274,6.282,19.001,7.703,5.069,5.854588120000001
339,14.062,6.074,3.769,14.003,6.031,3.737,5.278255812499999
340,20.28,9.667,5.538,17.948,8.065,4.459,5.361134074074074
341,16.844,7.266,4.11,14.265,5.602,3.011,3.6323877272727274
342,7.111,2.722,1.704,5.741,1.848,1.042,1.1788186666666667
343,23.168,7.516,3.073,21.625,6.697,2.672,4.827420833333333
344,16.372,6.84,4.496,13.921,5.242,3.298,3.6486941
345,16.844,6.857,3.165,14.246,5.25,2.276,3.3996136363636364
346,13.959,5.08,2.276,11.894,3.913,1.651,2.449538
347,23.728,7.029,2.718,22.319,6.344,2.403,4.42474175
348,20.28,6.01,2.283,19.007,5.383,1.997,3.78943262962963
349,7.111,2.722,1.704,5.741,1.848,1.042,1.1788186666666667
350,14.41,6.438,3.526,12.301,5.001,2.586,3.4176278333333334
351,26.601,12.24,6.19,23.49,10.162,4.937,6.820153714285714
352,17.053,6.635,4.795,14.939,5.25,3.668,4.127881578947369
353,20.727,9.467,4.716,17.676,7.397,3.476,5.028822
354,50.0,27.562,24.123,46.66,24.75,21.488,23.096699999999995
355,17.355,7.051,4.488,15.361,5.762,3.542,4.21476580952381
356,11.077,5.672,3.704,9.706,4.598,2.857,3.432937538461538
357,14.583,5.274,2.142,13.164,4.486,1.755,2.8120811428571426
358,14.41,6.438,3.322,12.486,5.124,2.5,3.5543479999999996
359,16.056,6.963,5.267,14.551,5.894,4.359,4.764644111111111
360,9.091,3.6,2.215,7.398,2.494,1.403,1.6773283636363636
361,16.844,6.857,4.11,15.302,5.888,3.437,4.0953716363636365
362,28.569,12.992,7.998,25.738,11.03,6.597,8.34971
363,25.62,12.459,8.373,22.67,10.34,6.745,7.561541935483871
364,27.585,13.347,8.561,24.854,11.38,7.1,8.570864242424243
365,18.781,6.957,2.732,16.641,5.702,2.129,3.9536242499999994
366,11.484,4.473,2.24,10.226,3.692,1.765,2.516959466666667
367,12.071,6.478,3.96,10.818,5.466,3.199,4.223656285714286
368,14.917,6.012,2.845,13.482,5.122,2.336,3.4527401999999996
369,20.727,9.467,5.75,19.024,8.295,4.918,6.069387692307692
370,12.055,2.939,0.901,13.491,3.581,1.15,2.8418394705882353
371,16.844,6.857,3.44,14.064,5.142,2.424,3.2871403636363636
372,17.355,6.63,3.347,17.139,6.492,3.262,5.298399428571428
373,16.372,7.852,4.25,14.449,6.465,3.339,4.67063925
374,22.042,11.584,8.792,21.922,11.487,8.708,10.49241725
375,13.432,4.938,2.172,11.824,3.98,1.656,2.7682070588235295
376,10.083,4.297,2.778,8.784,3.391,2.085,2.482212
377,14.0,9.551,13.091,12.94,8.534,12.041,7.887854285714286
378,19.753,9.274,4.296,17.86,7.953,3.539,5.681623200000001
379,13.432,4.281,2.56,12.583,3.818,2.239,2.825993764705882
380,19.322,6.25,2.486,18.329,5.728,2.236,4.038019692307692
381,22.203,7.549,3.277,20.731,6.741,2.858,4.818885206896551
382,16.372,5.025,3.277,15.027,4.311,2.752,3.23906985
383,5.0,2.25,4.0,4.23,1.54,3.23,1.3028400000000002
384,13.432,5.325,2.56,11.834,4.319,1.971,3.0065321176470583
385,13.067,5.915,4.165,11.763,4.964,3.388,3.8927688000000003
386,15.059,7.438,4.639,13.714,6.401,3.858,5.163724352941177
387,13.432,5.325,2.713,12.739,4.882,2.437,3.6583410588235292
388,12.071,5.778,3.273,12.758,6.311,3.657,5.751124142857143
389,10.516,4.68,2.534,8.496,3.334,1.663,2.0232617142857143
390,18.781,7.319,4.066,16.757,6.084,3.266,4.2478995
391,7.639,3.164,1.322,6.431,2.398,0.917,1.4019580000000003
392,19.753,8.347,4.135,17.047,6.607,3.105,4.50518116
393,15.879,6.63,3.2,13.367,5.052,2.289,3.215718285714286
394,9.551,3.63,1.646,9.445,3.564,1.608,2.589383076923077
395,32.029,15.297,8.818,31.61,14.975,8.591,13.922345588235293
396,15.059,6.25,3.484,15.737,6.733,3.819,6.232777705882352
