,AWeight,PC1,PC2,PC3,PC4,PC5,PC6,Weight,naccr,naro,ncarb,ncobr,ncocl,ncof,ncoi,ndb,ndonr,nhal,nhet,nhev,nhyd,nnitro,noxy,nphos,nring,nrot,nsb,nsulph,nta,ntb
98,12.344,13,16,20,24,28,22,148.124,2,12,10,0,0,0,0,0,0,0,2,12,8,2,0,0,2,1,1,0,20,0
99,32.778,10,14,16,17,16,12,327.777,1,6,6,3,0,0,0,0,1,3,4,10,3,0,1,0,1,0,4,1,13,0
100,16.538,13,17,18,20,23,20,214.991,2,6,8,0,2,0,0,1,1,2,5,13,6,0,3,0,1,3,6,3,19,0
101,15.934,15,19,20,22,24,21,239.013,2,6,10,0,2,0,0,1,1,2,5,15,10,0,3,0,1,5,8,3,25,0
102,13.461,11,15,17,19,18,16,148.073,3,6,7,0,0,0,0,1,3,0,4,11,6,0,4,0,1,1,4,4,17,0
103,14.097,24,34,42,49,61,69,324.229,6,12,14,0,0,0,0,3,1,0,9,23,14,2,6,0,2,6,9,6,37,0
104,13.852,13,18,21,23,26,24,180.075,5,6,6,0,0,0,0,2,1,0,7,13,4,2,5,0,1,2,5,5,17,0
105,13.119,9,12,12,15,12,10,118.075,3,6,5,0,0,0,0,1,2,0,4,9,7,3,1,0,1,0,2,1,16,0
106,15.458,19,28,35,40,45,50,278.25,7,11,9,0,0,0,0,3,1,0,9,18,7,3,4,0,2,3,5,4,25,0
107,12.154,16,23,32,45,58,65,170.15,1,12,13,0,0,0,0,0,1,0,1,14,11,1,0,0,3,0,4,0,25,0
108,14.4,21,31,43,59,71,87,273.595,8,10,10,0,1,0,0,0,3,1,9,19,12,5,3,0,3,2,11,3,31,0
109,15.266,8,10,11,10,10,5,122.128,3,6,5,0,0,0,0,1,1,0,3,8,5,1,1,0,1,0,1,1,13,0
110,16.231,14,20,27,34,41,37,211.003,2,11,9,0,2,0,0,1,0,2,4,13,4,0,2,0,2,0,2,2,17,0
111,13.342,6,7,7,7,3,1,80.05,3,5,2,0,0,0,0,0,2,0,4,6,4,4,0,0,1,0,1,0,10,0
112,13.396,28,39,51,63,75,74,348.298,4,18,20,0,0,0,0,2,1,0,6,26,20,2,3,0,3,6,8,3,46,0
113,16.263,7,9,5,4,3,0,130.104,3,0,3,0,0,0,0,2,2,0,5,8,9,1,3,0,0,3,5,3,17,0
114,13.271,21,31,45,60,72,86,252.145,8,10,11,0,0,0,0,0,4,0,8,19,14,4,4,0,3,2,11,4,33,0
115,13.151,15,21,29,39,44,45,184.114,4,10,8,0,0,0,0,2,2,0,6,14,10,4,2,0,2,2,3,2,24,0
116,14.254,7,8,5,4,4,0,114.036,3,0,3,0,0,0,0,2,1,0,5,8,5,1,4,0,0,3,5,4,13,0
117,14.624,23,33,44,57,77,90,307.095,2,12,16,0,2,0,0,2,0,2,5,21,12,2,1,0,3,1,9,1,33,0
118,13.008,32,48,71,102,139,180,364.224,7,12,21,0,0,0,0,1,1,0,7,28,20,0,7,0,5,3,19,7,48,0
119,12.581,7,8,8,8,8,3,88.069,2,6,5,0,0,0,0,0,1,0,2,7,6,2,0,0,1,0,1,0,13,0
120,32.011,11,14,16,16,18,17,352.118,1,6,7,0,1,0,0,1,1,1,4,11,5,0,2,0,1,2,4,2,16,0
121,13.238,13,17,19,22,24,21,172.095,3,6,9,0,0,0,0,1,2,0,4,13,10,0,4,0,1,3,6,4,23,0
122,13.099,11,14,16,16,18,15,144.089,3,6,7,0,0,0,0,1,3,0,4,11,8,2,2,0,1,1,4,2,19,0
123,13.225,26,39,54,72,88,108,304.181,9,10,13,0,0,0,0,1,4,0,10,23,16,6,4,0,4,3,15,4,39,0
124,12.641,21,30,43,60,72,72,240.177,2,12,15,0,0,0,0,2,2,0,4,19,12,2,2,0,3,2,7,2,31,0
125,13.983,22,30,37,47,56,61,293.633,5,6,12,0,1,0,0,2,3,1,9,21,18,7,1,0,2,2,14,1,39,0
126,14.081,20,28,34,42,46,45,281.622,5,6,11,0,1,0,0,2,3,1,9,20,18,7,1,0,1,4,12,1,38,0
127,14.681,18,26,35,44,51,55,249.569,7,6,9,0,1,0,0,1,3,1,8,17,12,3,4,0,2,2,11,4,29,0
128,13.341,19,27,36,45,53,60,240.13,6,6,11,0,0,0,0,2,3,0,7,18,16,2,5,0,2,3,11,5,34,0
129,13.316,14,20,25,32,40,42,173.102,1,10,9,0,0,1,0,1,2,1,4,13,6,1,2,0,2,1,3,2,19,0
130,13.95,19,28,38,47,57,61,251.105,7,6,9,0,0,1,0,2,4,1,9,18,11,2,6,0,2,2,11,6,29,0
131,13.008,15,21,26,35,42,43,182.114,2,10,10,0,0,0,0,1,3,0,4,14,9,1,3,0,2,2,4,3,23,0
132,12.51,17,23,29,37,46,51,200.156,2,10,13,0,0,0,0,0,1,0,3,16,18,2,1,0,2,4,7,1,34,0
133,12.581,15,20,27,35,42,45,176.134,2,10,11,0,0,0,0,0,2,0,3,14,14,2,1,0,2,3,5,1,28,0
134,12.41,17,24,34,47,62,64,186.149,1,16,13,0,0,0,0,1,1,0,2,15,9,1,1,0,3,0,0,1,24,0
135,13.978,19,26,33,42,51,60,251.608,2,10,13,0,1,0,0,1,2,1,5,18,15,2,2,0,2,4,8,2,33,0
136,12.897,19,26,33,42,51,60,232.154,3,10,13,0,0,0,0,1,3,0,5,18,16,2,3,0,2,4,8,3,34,0
137,12.543,17,24,34,47,62,70,188.145,2,10,12,0,0,0,0,0,2,0,3,15,14,2,1,0,3,1,7,1,29,0
138,14.474,17,25,36,47,56,62,231.578,6,10,9,0,1,0,0,2,0,1,7,16,11,4,2,0,2,2,5,2,27,0
139,12.851,21,30,39,51,68,76,244.161,4,12,15,0,0,0,0,1,2,0,4,19,12,0,4,0,3,1,8,4,31,0
140,12.676,20,28,37,49,64,70,228.162,3,12,15,0,0,0,0,1,1,0,3,18,12,0,3,0,3,1,7,3,30,0
141,13.258,17,25,36,47,56,62,212.124,7,10,9,0,0,0,0,2,1,0,7,16,12,4,3,0,2,2,5,3,28,0
142,13.175,13,18,24,31,33,31,158.096,3,10,7,0,0,0,0,1,1,0,5,12,5,3,2,0,2,1,2,2,17,0
143,12.898,20,30,43,56,68,84,232.158,5,10,12,0,0,0,0,2,1,0,6,18,16,4,2,0,3,1,8,2,34,0
144,12.51,24,30,37,40,43,41,300.228,3,0,21,0,0,0,0,4,1,0,3,24,26,0,3,0,1,6,18,3,50,2
145,13.085,67,92,109,130,141,165,850.507,17,0,47,0,0,0,0,9,12,0,18,65,73,1,17,0,3,3,58,17,138,0
146,13.713,31,44,58,78,105,124,397.685,6,16,21,0,1,0,0,3,1,1,8,29,18,1,6,0,3,6,12,6,47,0
