,EstateVSA0,EstateVSA1,EstateVSA10,EstateVSA2,EstateVSA3,EstateVSA4,EstateVSA5,EstateVSA6,EstateVSA7,EstateVSA8,EstateVSA9,LabuteASA,MRVSA0,MRVSA1,MRVSA2,MRVSA3,MRVSA4,MRVSA5,MRVSA6,MRVSA7,MRVSA8,MRVSA9,MTPSA,PEOEVSA0,PEOEVSA1,PEOEVSA10,PEOEVSA11,PEOEVSA12,PEOEVSA13,PEOEVSA2,PEOEVSA3,PEOEVSA4,PEOEVSA5,PEOEVSA6,PEOEVSA7,PEOEVSA8,PEOEVSA9,VSAEstate0,VSAEstate1,VSAEstate10,VSAEstate2,VSAEstate3,VSAEstate4,VSAEstate5,VSAEstate6,VSAEstate7,VSAEstate8,VSAEstate9,slogPVSA0,slogPVSA1,slogPVSA10,slogPVSA11,slogPVSA2,slogPVSA3,slogPVSA4,slogPVSA5,slogPVSA6,slogPVSA7,slogPVSA8,slogPVSA9
352,34.176,5.687,0.0,6.066,12.133,0.0,13.847,0.0,5.317,0.0,28.08,106.117,22.889,0.0,0.0,5.918,20.024,5.317,33.877,0.0,0.0,17.282,72.24,5.317,14.909,0.0,5.907,5.687,6.176,0.0,13.171,0.0,13.847,12.133,17.672,4.923,5.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.003,30.747,0.0,5.317,10.83,0.0,0.0,10.971,16.032,19.411,18.199,0.0,0.0,0.0,24.546
353,5.969,5.783,0.0,34.499,11.127,7.11,13.847,54.597,4.984,4.737,9.589,152.381,14.326,0.0,4.984,0.0,20.268,7.11,93.802,0.0,0.0,11.753,59.16,9.721,4.795,5.783,0.0,0.0,5.969,4.795,0.0,0.0,54.597,31.395,16.951,18.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,23.846,0.0,0.0,11.158,13.847,48.794,54.597,0.0,0.0,0.0,0.0
354,115.815,25.18,0.0,38.525,6.421,0.0,20.771,6.924,0.0,25.42,54.3,292.878,73.987,0.0,0.0,29.405,154.148,0.0,0.0,0.0,0.0,35.816,288.51,50.953,28.767,0.0,0.0,0.0,35.816,0.0,0.0,0.0,46.454,50.864,12.463,55.831,12.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.333,0.0,5.734,108.123,0.0,0.0,38.241,23.672,117.586,0.0,0.0,0.0,0.0,0.0
355,20.888,22.818,0.0,5.76,6.066,12.33,12.133,0.0,5.317,26.264,13.212,124.922,22.736,0.0,0.0,5.139,11.44,5.317,46.875,0.0,0.0,33.281,122.63,14.84,0.0,0.0,10.023,0.0,5.969,18.351,0.0,0.0,11.601,24.265,0.0,29.081,10.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.804,33.994,1.73,10.456,19.494,0.0,11.601,16.568,0.0,16.118,39.841,5.023,0.0,0.0,5.687
356,5.969,5.694,0.0,0.0,24.826,0.0,12.263,6.066,11.908,5.107,4.795,77.432,9.901,0.0,4.984,0.0,26.186,0.0,29.587,0.0,0.0,5.969,50.19,5.107,0.0,0.0,0.0,0.0,5.969,9.779,0.0,0.0,19.411,24.471,6.197,0.0,5.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,16.06,0.0,0.0,6.421,0.0,35.817,18.33,0.0,0.0,0.0,0.0
357,6.104,11.519,0.0,6.421,31.009,11.127,7.11,12.142,24.09,9.474,5.107,124.52,14.58,0.0,4.9,0.0,37.009,20.702,35.412,0.0,11.499,0.0,41.93,19.48,0.0,11.499,0.0,0.0,0.0,0.0,0.0,0.0,18.218,31.643,18.529,18.629,6.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.583,0.0,9.474,42.917,11.499,0.0,11.96,0.0,23.969,24.285,0.0,0.0,0.0,0.0
358,11.663,31.41,0.0,5.647,0.0,10.894,0.0,0.0,14.952,20.684,4.795,100.854,14.95,0.0,19.519,0.0,12.835,18.947,16.681,0.0,0.0,17.112,139.28,25.668,9.362,5.517,5.948,0.0,5.559,4.984,4.984,0.0,0.0,0.0,0.0,19.541,18.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.493,50.007,0.0,11.293,49.05,0.0,0.0,11.468,0.0,0.0,11.122,0.0,11.164,0.0,5.948
359,11.384,0.0,0.0,13.028,17.734,5.563,13.847,25.98,6.066,9.843,4.795,108.785,14.638,0.0,0.0,5.415,40.537,6.607,29.326,0.0,5.75,5.969,46.53,9.843,4.795,0.0,0.0,0.0,5.969,0.0,0.0,0.0,12.133,57.73,0.0,12.022,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.917,0.0,4.737,17.683,5.75,0.0,4.795,19.262,37.816,18.199,0.0,0.0,0.0,0.0
360,5.969,17.062,0.0,0.0,12.133,6.066,0.0,0.0,0.0,15.32,4.795,62.341,20.114,0.0,0.0,0.0,0.0,0.0,23.763,0.0,11.499,5.969,77.76,15.32,0.0,0.0,0.0,0.0,5.969,4.795,0.0,0.0,0.0,18.199,0.0,0.0,17.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.667,0.0,0.0,21.289,11.499,0.0,0.0,0.0,10.358,18.199,0.0,0.0,0.0,0.0
361,16.054,4.895,0.0,11.836,18.653,31.395,12.133,11.933,10.148,0.0,13.212,130.456,13.212,0.0,15.157,11.836,31.082,13.09,29.829,0.0,0.0,16.054,78.51,0.0,5.426,0.0,0.0,10.023,6.031,22.943,0.0,0.0,24.117,43.734,13.09,4.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.266,33.642,-3.825,10.148,32.547,0.0,0.0,10.023,18.76,24.826,29.161,0.0,0.0,0.0,4.795
